15200001	161	213	174
15200002	185	227	229
15200003	133	206	207
15200005	168	193	188
15200006	157	194	151
15200008	215	129	99
15200009	169	96	101
15200010	206	189	221
15200011	180	150	198
15200015	161	213	174
15200016	185	227	229
15200020	185	227	229
15200026	133	206	207
15200029	172	196	171
15200030	121	143	118
15200031	164	200	194
15200032	164	200	194
15200039	168	193	188
15200040	162	194	172
15200041	110	146	106
15200046	230	187	105
15200050	194	153	68
15200054	216	160	117
15200059	175	122	81
15200075	143	115	202
15200086	159	124	146
15200091	247	153	108
15200115	195	198	187
15200118	121	147	145
15200125	230	152	132
15200178	215	129	99
15200186	161	213	174
15200188	133	206	207
15200189	133	206	207
15200194	157	172	170
15200195	195	198	187
15200254	233	214	157
15200255	255	226	129
15200300	244	190	116
15200308	217	194	128
15200311	182	187	137
15200341	255	238	146
15200343	255	238	95
15200344	255	238	95
15200370	213	190	70
15200394	211	169	68
15200460	232	193	122
15200569	232	193	122
15206017	255	117	95
